| table_name                | constraint_name                                                 | constraint_type | column_name       | foreign_table             | foreign_column    |
| ------------------------- | --------------------------------------------------------------- | --------------- | ----------------- | ------------------------- | ----------------- |
| anuncios                  | 2200_22325_8_not_null                                           | CHECK           | null              | null                      | null              |
| anuncios                  | anuncios_tipo_anuncio_check                                     | CHECK           | null              | anuncios                  | tipo_anuncio      |
| anuncios                  | anuncios_preco_check                                            | CHECK           | null              | anuncios                  | preco             |
| anuncios                  | 2200_22325_1_not_null                                           | CHECK           | null              | null                      | null              |
| anuncios                  | 2200_22325_2_not_null                                           | CHECK           | null              | null                      | null              |
| anuncios                  | 2200_22325_4_not_null                                           | CHECK           | null              | null                      | null              |
| anuncios                  | 2200_22325_5_not_null                                           | CHECK           | null              | null                      | null              |
| anuncios                  | 2200_22325_6_not_null                                           | CHECK           | null              | null                      | null              |
| anuncios                  | anuncios_plataforma_id_fkey                                     | FOREIGN KEY     | plataforma_id     | plataformas               | id                |
| anuncios                  | anuncios_loja_id_fkey                                           | FOREIGN KEY     | loja_id           | lojas                     | id                |
| anuncios                  | anuncios_empresa_id_fkey                                        | FOREIGN KEY     | empresa_id        | empresas                  | id                |
| anuncios                  | anuncios_pkey                                                   | PRIMARY KEY     | id                | anuncios                  | id                |
| anuncios                  | anuncios_loja_id_plataforma_id_key                              | UNIQUE          | loja_id           | anuncios                  | loja_id           |
| anuncios                  | anuncios_loja_id_plataforma_id_key                              | UNIQUE          | plataforma_id     | anuncios                  | plataforma_id     |
| anuncios                  | anuncios_loja_id_plataforma_id_key                              | UNIQUE          | plataforma_id     | anuncios                  | loja_id           |
| anuncios                  | anuncios_loja_id_plataforma_id_key                              | UNIQUE          | loja_id           | anuncios                  | plataforma_id     |
| caracteristicas           | 2200_22099_1_not_null                                           | CHECK           | null              | null                      | null              |
| caracteristicas           | 2200_22099_2_not_null                                           | CHECK           | null              | null                      | null              |
| caracteristicas           | 2200_22099_3_not_null                                           | CHECK           | null              | null                      | null              |
| caracteristicas           | caracteristicas_empresa_id_fkey                                 | FOREIGN KEY     | empresa_id        | empresas                  | id                |
| caracteristicas           | caracteristicas_pkey                                            | PRIMARY KEY     | id                | caracteristicas           | id                |
| caracteristicas           | caracteristicas_empresa_id_nome_key                             | UNIQUE          | nome              | caracteristicas           | empresa_id        |
| caracteristicas           | caracteristicas_empresa_id_nome_key                             | UNIQUE          | empresa_id        | caracteristicas           | empresa_id        |
