| table_name                | column_name               | data_type                | is_nullable | column_default                   |
| ------------------------- | ------------------------- | ------------------------ | ----------- | -------------------------------- |
| anuncios                  | id                        | uuid                     | NO          | gen_random_uuid()                |
| anuncios                  | empresa_id                | uuid                     | NO          | null                             |
| anuncios                  | loja_id                   | uuid                     | YES         | null                             |
| anuncios                  | entidade_id               | uuid                     | NO          | null                             |
| anuncios                  | tipo_anuncio              | character varying        | NO          | null                             |
| anuncios                  | plataforma_id             | uuid                     | NO          | null                             |
| anuncios                  | autor_id                  | uuid                     | YES         | null                             |
| anuncios                  | titulo                    | character varying        | NO          | null                             |
| anuncios                  | titulo_original           | character varying        | YES         | null                             |
| anuncios                  | descricao                 | text                     | YES         | null                             |
| anuncios                  | descricao_original        | text                     | YES         | null                             |
| anuncios                  | preco                     | numeric                  | YES         | null                             |
| anuncios                  | preco_original            | numeric                  | YES         | null                             |
| anuncios                  | status                    | character varying        | YES         | 'ativo'::character varying       |
| anuncios                  | identificador_fisico      | character varying        | YES         | null                             |
| anuncios                  | tipo_identificador_fisico | character varying        | YES         | null                             |
| anuncios                  | link_anuncio              | character varying        | YES         | null                             |
| anuncios                  | data_publicacao           | timestamp with time zone | YES         | null                             |
| anuncios                  | data_vencimento           | timestamp with time zone | YES         | null                             |
| anuncios                  | visualizacoes             | integer                  | YES         | 0                                |
| anuncios                  | favoritos                 | integer                  | YES         | 0                                |
| anuncios                  | mensagens                 | integer                  | YES         | 0                                |
| anuncios                  | criado_em                 | timestamp with time zone | YES         | now()                            |
| anuncios                  | atualizado_em             | timestamp with time zone | YES         | now()                            |
| caracteristicas           | id                        | uuid                     | NO          | gen_random_uuid()                |
| caracteristicas           | empresa_id                | uuid                     | NO          | null                             |
| caracteristicas           | nome                      | character varying        | NO          | null                             |
| caracteristicas_repetidos | id                        | uuid                     | NO          | gen_random_uuid()                |
| caracteristicas_repetidos | empresa_id                | uuid                     | NO          | null                             |
| caracteristicas_repetidos | repetido_id               | uuid                     | NO          | null                             |
| caracteristicas_repetidos | caracteristica_id         | uuid                     | NO          | null                             |
| caracteristicas_veiculos  | id                        | uuid                     | NO          | gen_random_uuid()                |
| caracteristicas_veiculos  | empresa_id                | uuid                     | NO          | null                             |
| caracteristicas_veiculos  | veiculo_id                | uuid                     | NO          | null                             |
| caracteristicas_veiculos  | caracteristica_id         | uuid                     | NO          | null                             |
| convites_empresa          | id                        | uuid                     | NO          | gen_random_uuid()                |
| convites_empresa          | empresa_id                | uuid                     | NO          | null                             |
| convites_empresa          | convidado_por_usuario_id  | uuid                     | NO          | null                             |
| convites_empresa          | usuario_convidado_id      | uuid                     | NO          | null                             |
| convites_empresa          | token                     | character varying        | NO          | (gen_random_uuid())::text        |
| convites_empresa          | status                    | character varying        | YES         | 'pendente'::character varying    |
| convites_empresa          | criado_em                 | timestamp with time zone | YES         | now()                            |
| convites_empresa          | expira_em                 | timestamp with time zone | NO          | null                             |
| convites_empresa          | consumido_em              | timestamp with time zone | YES         | null                             |
| documentacao_veiculos     | id                        | uuid                     | NO          | gen_random_uuid()                |
| documentacao_veiculos     | empresa_id                | uuid                     | NO          | null                             |
| documentacao_veiculos     | veiculo_id                | uuid                     | NO          | null                             |
| documentacao_veiculos     | loja_id                   | uuid                     | YES         | null                             |
| documentacao_veiculos     | status_geral              | USER-DEFINED             | NO          | 'pendente'::status_documentacao  |
| documentacao_veiculos     | tem_crlv                  | boolean                  | YES         | false                            |
| documentacao_veiculos     | tem_crv                   | boolean                  | YES         | false                            |
| documentacao_veiculos     | tem_nf_compra             | boolean                  | YES         | false                            |
| documentacao_veiculos     | tem_chave_reserva         | boolean                  | YES         | false                            |
| documentacao_veiculos     | tem_manual                | boolean                  | YES         | false                            |
| documentacao_veiculos     | tem_multas                | boolean                  | YES         | false                            |
| documentacao_veiculos     | valor_multas              | numeric                  | YES         | 0                                |
| documentacao_veiculos     | tem_dividas_ativas        | boolean                  | YES         | false                            |
| documentacao_veiculos     | valor_dividas_ativas      | numeric                  | YES         | 0                                |
| documentacao_veiculos     | tem_precatorios           | boolean                  | YES         | false                            |
| documentacao_veiculos     | tem_embargos              | boolean                  | YES         | false                            |
| documentacao_veiculos     | tem_restricoes            | boolean                  | YES         | false                            |
| documentacao_veiculos     | transferencia_iniciada    | boolean                  | YES         | false                            |
| documentacao_veiculos     | transferencia_concluida   | boolean                  | YES         | false                            |
| documentacao_veiculos     | data_transferencia        | timestamp with time zone | YES         | null                             |
| documentacao_veiculos     | vistoria_realizada        | boolean                  | YES         | false                            |
| documentacao_veiculos     | data_vistoria             | timestamp with time zone | YES         | null                             |
| documentacao_veiculos     | aprovada_vistoria         | boolean                  | YES         | false                            |
| documentacao_veiculos     | observacoes_gerais        | text                     | YES         | null                             |
| documentacao_veiculos     | observacoes_multas        | text                     | YES         | null                             |
| documentacao_veiculos     | observacoes_restricoes    | text                     | YES         | null                             |
| documentacao_veiculos     | responsavel_id            | uuid                     | YES         | null                             |
| documentacao_veiculos     | data_entrada              | timestamp with time zone | YES         | now()                            |
| documentacao_veiculos     | data_conclusao            | timestamp with time zone | YES         | null                             |
| documentacao_veiculos     | criado_em                 | timestamp with time zone | YES         | now()                            |
| documentacao_veiculos     | atualizado_em             | timestamp with time zone | YES         | now()                            |
| empresas                  | id                        | uuid                     | NO          | gen_random_uuid()                |
| empresas                  | nome                      | character varying        | NO          | null                             |
| empresas                  | dominio                   | character varying        | YES         | null                             |
| empresas                  | ativo                     | boolean                  | YES         | true                             |
| empresas                  | criado_em                 | timestamp with time zone | YES         | now()                            |
| empresas                  | atualizado_em             | timestamp with time zone | YES         | now()                            |
| fotos_veiculos            | id                        | uuid                     | NO          | gen_random_uuid()                |
| fotos_veiculos            | empresa_id                | uuid                     | NO          | null                             |
| fotos_veiculos            | veiculo_id                | uuid                     | NO          | null                             |
| fotos_veiculos            | loja_id                   | uuid                     | NO          | null                             |
| fotos_veiculos            | caminho_pesquisa          | character varying        | NO          | null                             |
| fotos_veiculos            | e_capa                    | boolean                  | NO          | false                            |
| fotos_veiculos            | criado_em                 | timestamp with time zone | NO          | now()                            |
| fotos_veiculos            | atualizado_em             | timestamp with time zone | NO          | now()                            |
| fotos_veiculos            | ordem                     | smallint                 | NO          | null                             |
| locais                    | id                        | uuid                     | NO          | gen_random_uuid()                |
| locais                    | empresa_id                | uuid                     | NO          | null                             |
| locais                    | nome                      | character varying        | NO          | null                             |
| lojas                     | id                        | uuid                     | NO          | gen_random_uuid()                |
| lojas                     | empresa_id                | uuid                     | NO          | null                             |
| lojas                     | nome                      | character varying        | NO          | null                             |
| membros_empresa           | id                        | uuid                     | NO          | gen_random_uuid()                |
| membros_empresa           | empresa_id                | uuid                     | NO          | null                             |
| membros_empresa           | usuario_id                | uuid                     | NO          | null                             |
| membros_empresa           | papel                     | USER-DEFINED             | YES         | 'usuario'::papel_usuario_empresa |
| membros_empresa           | ativo                     | boolean                  | YES         | true                             |
| membros_empresa           | criado_em                 | timestamp with time zone | YES         | now()                            |
| modelos                   | id                        | uuid                     | NO          | gen_random_uuid()                |
| modelos                   | empresa_id                | uuid                     | NO          | null                             |
| modelos                   | marca                     | character varying        | NO          | null                             |
| modelos                   | nome                      | character varying        | NO          | null                             |
| modelos                   | edicao                    | character varying        | YES         | null                             |
| modelos                   | carroceria                | USER-DEFINED             | YES         | null                             |
| modelos                   | combustivel               | USER-DEFINED             | YES         | null                             |
| modelos                   | tipo_cambio               | USER-DEFINED             | YES         | null                             |
| modelos                   | motor                     | character varying        | YES         | null                             |
| modelos                   | cambio                    | character varying        | YES         | null                             |
| modelos                   | cilindros                 | integer                  | YES         | null                             |
| modelos                   | valvulas                  | integer                  | YES         | null                             |
| modelos                   | lugares                   | integer                  | YES         | null                             |
| modelos                   | portas                    | integer                  | YES         | null                             |
| modelos                   | cabine                    | character varying        | YES         | null                             |
| modelos                   | tracao                    | character varying        | YES         | null                             |
| modelos                   | ano_inicial               | integer                  | YES         | null                             |
| modelos                   | ano_final                 | integer                  | YES         | null                             |
| modelos                   | criado_em                 | timestamp with time zone | YES         | now()                            |
| modelos                   | atualizado_em             | timestamp with time zone | YES         | now()                            |
| permissoes_papel          | id                        | uuid                     | NO          | gen_random_uuid()                |
| permissoes_papel          | empresa_id                | uuid                     | NO          | null                             |
| permissoes_papel          | papel                     | USER-DEFINED             | NO          | null                             |
| permissoes_papel          | operacao                  | text                     | NO          | null                             |
| permissoes_papel          | permitido                 | boolean                  | NO          | true                             |
| permissoes_papel          | condicoes_extras          | jsonb                    | YES         | null                             |
| permissoes_papel          | criado_em                 | timestamp with time zone | YES         | now()                            |
| permissoes_papel          | atualizado_em             | timestamp with time zone | YES         | now()                            |
| permissoes_papel          | criado_por                | uuid                     | YES         | null                             |
| permissoes_papel          | atualizado_por            | uuid                     | YES         | null                             |
| plataformas               | id                        | uuid                     | NO          | gen_random_uuid()                |
| plataformas               | empresa_id                | uuid                     | NO          | null                             |
| plataformas               | nome                      | character varying        | NO          | null                             |
| promocoes                 | id                        | uuid                     | NO          | gen_random_uuid()                |
| promocoes                 | empresa_id                | uuid                     | NO          | null                             |
| promocoes                 | veiculo_loja_id           | uuid                     | YES         | null                             |
| promocoes                 | anuncio_id                | uuid                     | YES         | null                             |
| promocoes                 | tipo_promocao             | character varying        | NO          | null                             |
| promocoes                 | preco_promocional         | numeric                  | NO          | null                             |
| promocoes                 | data_inicio               | timestamp with time zone | NO          | null                             |
| promocoes                 | data_fim                  | timestamp with time zone | YES         | null                             |
| promocoes                 | autor_id                  | uuid                     | NO          | null                             |
| promocoes                 | ativo                     | boolean                  | YES         | true                             |
| promocoes                 | criado_em                 | timestamp with time zone | YES         | now()                            |
| promocoes                 | atualizado_em             | timestamp with time zone | YES         | now()                            |
| repetidos                 | id                        | uuid                     | NO          | gen_random_uuid()                |
| repetidos                 | empresa_id                | uuid                     | NO          | null                             |
| repetidos                 | modelo_id                 | uuid                     | NO          | null                             |
| repetidos                 | ano_fabricacao_padrao     | integer                  | NO          | null                             |
| repetidos                 | ano_modelo_padrao         | integer                  | NO          | null                             |
| repetidos                 | cor_padrao                | character varying        | NO          | null                             |
| repetidos                 | min_hodometro             | integer                  | NO          | null                             |
| repetidos                 | max_hodometro             | integer                  | NO          | null                             |
| repetidos                 | registrado_em             | timestamp with time zone | YES         | now()                            |
| repetidos                 | registrado_por            | uuid                     | YES         | null                             |
| repetidos                 | alterado_em               | timestamp with time zone | YES         | now()                            |
| repetidos                 | alterado_por              | uuid                     | YES         | null                             |
| tem_fotos                 | empresa_id                | uuid                     | NO          | null                             |
